CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,325,1,77183.6,2
12347.0,1,7,4310.0,2
12348.0,74,4,1797.24,2
12349.0,18,1,1757.55,2
12350.0,309,1,334.4,0
12352.0,35,8,2506.04,2
12353.0,203,1,89.0,0
12354.0,231,1,1079.4,0
12355.0,213,1,459.4,0
12356.0,22,3,2811.43,2
12357.0,32,1,6207.67,2
12358.0,1,2,1168.06,2
12359.0,57,4,6372.58,2
12360.0,51,3,2662.06,2
12361.0,286,1,189.9,0
12362.0,2,10,5226.23,2
12363.0,109,2,552.0,1
12364.0,7,4,1313.1,2
12365.0,290,2,641.38,0
12367.0,3,1,168.9,1
12370.0,50,4,3545.69,2
12371.0,44,2,1887.96,2
12372.0,71,3,1298.04,2
12373.0,310,1,364.6,0
12374.0,24,1,742.9300000000001,1
12375.0,10,2,457.5,1
12377.0,314,2,1628.12,0
12378.0,129,1,4008.62,2
12379.0,81,2,852.24,1
12380.0,21,4,2724.81,2
12381.0,4,5,1845.31,2
12383.0,184,5,1850.56,2
12384.0,28,2,585.27,1
12386.0,337,2,401.9,0
12388.0,15,6,2780.66,2
12390.0,79,1,549.84,1
12391.0,21,1,460.89,1
12393.0,71,4,1582.6000000000001,2
12394.0,63,2,1272.48,2
12395.0,18,12,3018.63,2
12397.0,35,2,2409.9,2
12398.0,45,1,1635.6599999999999,2
12399.0,118,4,1108.65,2
12401.0,302,1,84.3,0
12402.0,322,1,225.6,0
12403.0,49,1,427.7,1
12405.0,148,1,1710.39,2
12406.0,21,2,3415.3,2
12407.0,49,5,1708.1200000000001,2
12408.0,32,5,2888.55,2
12409.0,78,3,11072.67,2
12410.0,308,2,693.3299999999999,0
12412.0,74,3,1226.88,2
12413.0,66,3,758.1,1
12414.0,216,3,562.41,0
12415.0,23,21,124914.53,2
12417.0,2,9,3649.1,2
12418.0,112,1,668.58,1
12420.0,63,1,600.39,1
12421.0,15,4,807.04,1
12422.0,95,3,803.5600000000001,1
12423.0,0,8,1859.31,2
12424.0,162,2,1760.96,2
12425.0,77,1,777.2,1
12426.0,194,1,582.73,0
12427.0,21,3,825.8,1
12428.0,25,9,7956.46,2
12429.0,8,4,3750.4,2
12430.0,42,1,256.4,1
12431.0,35,15,6487.45,2
12432.0,42,5,5059.32,2
12433.0,0,7,13375.87,2
12434.0,84,2,806.14,1
12435.0,79,2,7829.89,2
12436.0,99,1,509.01,1
12437.0,1,18,4951.41,2
12438.0,13,2,2906.85,2
12441.0,366,1,173.55,0
12442.0,2,1,172.06,1
12444.0,20,5,5005.46,2
12445.0,21,1,133.4,1
12446.0,57,1,1002.3100000000001,1
12447.0,242,1,476.49,0
12448.0,43,1,449.45,1
12449.0,21,4,4067.29,2
12450.0,155,2,197.88,0
12451.0,10,5,9035.52,2
12452.0,16,2,430.57,1
12453.0,133,1,707.09,1
12454.0,55,1,3528.34,2
12455.0,72,6,2466.86,2
12456.0,43,3,3181.04,2
12457.0,65,7,2363.23,2
12458.0,70,2,947.4,1
12461.0,93,2,826.88,1
12462.0,18,2,1189.59,2
12463.0,52,4,1344.78,2
12464.0,9,8,1212.05,2
12465.0,16,2,742.1899999999999,1
12468.0,187,2,729.5400000000001,0
12471.0,1,30,19824.05,2
12472.0,31,7,6572.11,2
12473.0,28,5,3938.5499999999997,2
12474.0,16,18,7375.79,2
12475.0,53,1,723.38,1
12476.0,15,11,6816.42,2
12477.0,22,6,13219.74,2
12478.0,3,1,680.99,1
12479.0,10,1,527.2,1
12480.0,27,4,3281.63,2
12481.0,22,10,5596.32,2
12483.0,16,8,2484.98,2
12484.0,32,6,4541.72,2
12488.0,9,3,1298.66,2
12489.0,335,1,334.93,0
12490.0,4,10,5417.93,2
12491.0,38,1,460.40000000000003,1
12492.0,62,2,263.21000000000004,1
12493.0,165,2,433.74,0
12494.0,15,7,1246.1000000000001,2
12497.0,81,1,1043.1,1
12498.0,20,3,403.70000000000005,1
12500.0,22,11,4257.82,2
12501.0,336,1,2169.39,0
12502.0,95,5,3723.87,2
12504.0,17,2,482.04999999999995,1
12506.0,232,1,73.5,0
12507.0,133,3,1304.81,2
12508.0,25,2,398.27,1
12509.0,283,1,176.5,0
12510.0,142,2,982.5699999999999,1
12512.0,65,2,138.03,1
12513.0,112,1,612.29,1
12514.0,266,1,1017.68,0
12515.0,352,1,383.7,0
12516.0,77,2,1312.06,2
12517.0,27,5,2502.84,2
12518.0,0,5,2056.89,2
12519.0,63,1,340.84,1
12520.0,78,5,2634.26,2
12521.0,142,1,599.68,1
12522.0,38,2,192.72,1
12523.0,18,11,1789.77,2
12524.0,8,8,4485.72,2
12526.0,0,3,1316.66,2
12527.0,81,3,348.71000000000004,1
12528.0,8,6,1933.48,2
12530.0,59,4,1662.28,2
12531.0,14,1,125.22,1
12532.0,29,1,349.83000000000004,1
12534.0,130,1,1089.18,1
12535.0,91,2,716.35,1
12536.0,42,3,12601.830000000002,2
12538.0,28,1,363.95,1
12539.0,21,4,5568.35,2
12540.0,19,17,13400.24,2
12541.0,29,3,981.18,2
12544.0,35,1,372.7,1
12545.0,74,2,1000.39,1
12546.0,46,2,1161.5,2
12547.0,197,2,207.79999999999998,0
12548.0,165,1,95.19999999999999,0
12550.0,78,1,964.83,1
12551.0,357,1,168.0,0
12552.0,38,2,437.82,1
12553.0,7,10,3692.28,2
12556.0,49,2,603.71,1
12557.0,15,5,11990.960000000001,2
12558.0,7,1,269.96,1
12559.0,310,2,561.71,0
12560.0,4,3,2134.01,2
12561.0,302,1,238.85,0
12562.0,7,7,3781.7400000000002,2
12564.0,260,1,456.9,0
12565.0,288,1,145.92,0
12566.0,85,1,351.65,1
12567.0,22,10,9401.28,2
12569.0,1,32,4124.69,2
12571.0,39,2,519.61,1
12572.0,8,2,1020.42,2
12573.0,226,1,160.54000000000002,0
12574.0,315,1,218.45,0
12576.0,35,5,1315.83,2
12577.0,34,3,657.8,1
12578.0,20,2,2794.51,2
12579.0,77,1,440.42,1
12580.0,246,1,415.7,0
12581.0,39,1,197.71,1
12582.0,238,2,511.36,0
12583.0,2,15,7281.38,2
12584.0,3,9,2338.15,2
12585.0,233,2,2040.1,0
12586.0,16,1,196.94000000000003,1
12587.0,7,1,144.0,1
12588.0,38,1,214.89999999999998,1
12589.0,28,2,646.68,1
12590.0,210,2,9864.26,2
12591.0,316,1,452.84999999999997,0
12592.0,91,2,437.6,1
12593.0,108,3,418.09999999999997,1
12594.0,37,10,3338.2200000000003,2
12596.0,50,2,618.27,1
12597.0,18,4,3811.22,2
12598.0,9,8,3023.08,2
12599.0,28,7,1032.58,2
12600.0,28,10,2599.04,2
12601.0,189,5,577.0600000000001,0
12602.0,58,1,153.12,1
12603.0,21,1,739.1999999999999,1
12604.0,78,2,254.18,1
12607.0,59,1,1579.51,2
12609.0,77,3,1126.85,2
12610.0,22,5,2099.54,2
12611.0,51,1,1193.32,2
12612.0,73,1,704.0400000000001,1
12613.0,56,5,3344.38,2
12614.0,277,1,315.6,0
12615.0,1,4,2291.19,2
12616.0,94,2,713.3,1
12617.0,28,1,355.53,1
12618.0,21,1,177.31,1
12619.0,15,9,3641.24,2
12620.0,14,3,1339.41,2
12621.0,1,20,13689.67,2
12622.0,231,1,180.1,0
12623.0,275,1,305.1,0
12624.0,105,2,641.13,1
12625.0,211,2,2683.82,0
12626.0,22,9,6620.48,2
12627.0,10,7,4478.53,2
12628.0,3,3,786.46,1
12630.0,9,2,1270.88,2
12631.0,56,1,640.5,1
12633.0,58,4,2163.98,2
12635.0,89,2,1689.18,2
12637.0,66,8,6021.9,2
12638.0,32,1,671.69,1
12639.0,238,1,486.1,0
12640.0,23,3,1174.58,2
12641.0,114,1,185.9,1
12642.0,24,3,1013.26,2
12643.0,127,6,3344.64,2
12644.0,129,1,477.91,1
12645.0,33,4,1775.18,2
12646.0,4,2,1346.97,2
12647.0,21,12,3722.82,2
12648.0,154,1,318.05,0
12649.0,106,3,623.51,1
12650.0,2,1,314.44,1
12651.0,334,1,114.0,0
12652.0,330,1,919.98,0
12653.0,148,2,2209.85,2
12654.0,10,5,601.98,1
12656.0,16,5,4051.17,2
12657.0,10,4,1643.18,2
12658.0,18,1,686.05,1
12659.0,29,1,91.68,1
